Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-28 16:15:05,20.9079296875,154811,45.62740246472818,999.3765166737943,116.15185148702155,10,14,15,10,14,15,1902,519,91,6,3,0
2025-02-28 16:15:06,20.9036328125,156395,45.66332682962864,999.3726310073602,116.18456552570146,10,13,15,10,13,15,1851,505,77,6,3,0
2025-02-28 16:15:07,20.8985546875,155527,45.67488251737317,999.3725871717799,116.1849345849563,10,13,15,10,13,15,1851,505,77,6,3,0
2025-02-28 16:15:07,20.87609375,154385,45.672291085679745,999.3773684034672,116.1446806543085,10,13,15,10,13,15,1851,505,77,6,3,0
2025-02-28 16:15:08,20.867890625,155384,45.677415536380835,999.3702631529713,116.20450091583504,9,12,14,9,12,14,1758,474,65,5,3,0
2025-02-28 16:15:09,20.860859375,156105,45.700889159225326,999.3686089135163,116.21842827674396,9,12,14,9,12,14,1758,474,65,5,3,0
2025-02-28 16:15:10,20.8434765625,155527,45.70495486144897,999.3682561816205,116.22139799699573,9,12,14,9,12,14,1758,474,65,5,3,0
2025-02-28 16:15:11,20.8360546875,155097,45.7405315735181,999.3728345866012,116.18285155739783,10,14,16,10,14,16,1905,526,84,8,3,0
2025-02-28 16:15:12,20.8305859375,155816,45.76419299846485,999.3755723787767,116.15980164626833,10,14,16,10,14,16,1899,515,86,9,3,0
2025-02-28 16:15:13,20.8157421875,155960,45.76855231463695,999.3778275782553,116.14081479880493,10,14,16,10,14,16,1866,509,80,10,3,0
2025-02-28 16:15:14,20.8005078125,155671,45.79716320355153,999.3725147911447,116.18554396994146,10,15,17,10,15,17,1935,529,82,13,4,1
2025-02-28 16:15:15,20.78390625,154954,45.84992349539372,999.3717664469716,116.19184441000789,10,15,18,10,15,18,1941,535,86,14,4,1
